,opened,exists,read,written,created,deleted,failed,recreated
100,98.1% (+/- 0.78%),98.38% (+/- 0.94%),98.34% (+/- 0.79%),94.07% (+/- 1.76%),96.75% (+/- 2.19%),98.06% (+/- 0.93%),97.69% (+/- 1.11%),87.04% (+/- 4.13%)
150,98.09% (+/- 0.87%),98.06% (+/- 1.05%),98.01% (+/- 0.7%),94.44% (+/- 1.8%),94.74% (+/- 1.64%),98.06% (+/- 1.02%),97.69% (+/- 1.4%),88.89% (+/- 4.33%)
200,98.09% (+/- 0.95%),98.38% (+/- 0.95%),98.01% (+/- 0.81%),94.49% (+/- 1.97%),95.12% (+/- 1.29%),98.54% (+/- 1.16%),97.69% (+/- 1.2%),88.78% (+/- 4.05%)
250,98.09% (+/- 0.76%),98.06% (+/- 1.01%),98.34% (+/- 0.89%),94.86% (+/- 1.72%),95.12% (+/- 1.69%),98.06% (+/- 1.22%),97.69% (+/- 1.41%),87.04% (+/- 3.93%)
300,97.62% (+/- 0.72%),98.06% (+/- 0.95%),98.01% (+/- 0.73%),95.24% (+/- 1.89%),96.75% (+/- 1.8%),98.06% (+/- 1.14%),97.69% (+/- 1.42%),88.89% (+/- 4.29%)
350,98.09% (+/- 0.82%),98.38% (+/- 0.93%),98.01% (+/- 0.8%),94.86% (+/- 1.88%),95.14% (+/- 1.54%),98.06% (+/- 1.18%),97.69% (+/- 1.39%),87.04% (+/- 4.19%)
400,98.1% (+/- 0.79%),98.06% (+/- 0.98%),98.01% (+/- 0.74%),94.49% (+/- 1.77%),95.12% (+/- 1.76%),98.06% (+/- 1.28%),97.69% (+/- 1.42%),88.89% (+/- 4.5%)
450,98.1% (+/- 0.76%),98.06% (+/- 1.01%),98.01% (+/- 0.89%),94.49% (+/- 2.0%),95.12% (+/- 1.78%),98.06% (+/- 1.26%),97.69% (+/- 1.27%),87.04% (+/- 4.4%)
500,98.56% (+/- 0.72%),98.06% (+/- 0.86%),98.34% (+/- 0.98%),95.24% (+/- 1.67%),95.55% (+/- 1.65%),98.06% (+/- 1.21%),97.69% (+/- 1.28%),87.96% (+/- 4.19%)
550,98.33% (+/- 0.82%),98.06% (+/- 0.95%),98.01% (+/- 0.68%),94.86% (+/- 1.86%),95.93% (+/- 1.82%),98.06% (+/- 1.28%),97.69% (+/- 1.41%),88.89% (+/- 4.13%)
600,98.33% (+/- 0.8%),98.05% (+/- 1.17%),98.01% (+/- 0.96%),95.24% (+/- 1.9%),97.56% (+/- 1.81%),98.06% (+/- 1.32%),97.69% (+/- 1.28%),87.04% (+/- 3.93%)
650,98.33% (+/- 0.72%),98.06% (+/- 1.0%),98.01% (+/- 0.84%),95.26% (+/- 1.74%),97.56% (+/- 1.82%),98.06% (+/- 1.22%),97.69% (+/- 1.5%),87.04% (+/- 4.37%)
700,98.33% (+/- 0.93%),98.05% (+/- 1.07%),98.01% (+/- 0.97%),95.26% (+/- 1.96%),97.56% (+/- 1.76%),98.06% (+/- 1.13%),97.69% (+/- 1.49%),88.89% (+/- 4.27%)
750,98.1% (+/- 0.73%),98.06% (+/- 1.08%),98.01% (+/- 0.85%),95.24% (+/- 1.99%),97.56% (+/- 1.66%),98.06% (+/- 1.23%),97.69% (+/- 1.41%),87.04% (+/- 4.37%)
800,98.1% (+/- 0.75%),98.06% (+/- 1.03%),98.01% (+/- 0.66%),95.26% (+/- 2.0%),97.57% (+/- 1.63%),98.06% (+/- 1.32%),97.69% (+/- 1.3%),88.89% (+/- 4.43%)
850,98.1% (+/- 0.85%),98.06% (+/- 0.98%),98.01% (+/- 0.82%),95.24% (+/- 1.85%),97.56% (+/- 1.85%),98.06% (+/- 1.53%),97.69% (+/- 1.47%),88.89% (+/- 4.39%)
900,98.09% (+/- 0.74%),98.06% (+/- 0.99%),98.01% (+/- 0.85%),95.26% (+/- 1.93%),97.56% (+/- 1.73%),98.06% (+/- 1.35%),97.69% (+/- 1.47%),88.89% (+/- 4.08%)
950,98.56% (+/- 0.99%),98.38% (+/- 1.06%),98.01% (+/- 0.86%),95.24% (+/- 1.96%),97.56% (+/- 1.83%),98.06% (+/- 1.19%),97.69% (+/- 1.49%),87.04% (+/- 4.21%)
1000,98.1% (+/- 0.82%),98.06% (+/- 1.01%),98.01% (+/- 0.77%),95.26% (+/- 1.98%),97.56% (+/- 1.71%),98.06% (+/- 1.26%),97.69% (+/- 1.23%),87.96% (+/- 4.0%)
