,kernel32,user32,advapi32,shell32,ole32
100,94.21% (+/- 1.59%),91.89% (+/- 2.0%),90.85% (+/- 2.91%),92.91% (+/- 2.85%),85.6% (+/- 4.01%)
150,95.04% (+/- 1.36%),93.48% (+/- 2.02%),91.21% (+/- 2.62%),93.51% (+/- 3.37%),87.2% (+/- 4.49%)
200,94.63% (+/- 1.41%),93.5% (+/- 1.8%),91.83% (+/- 2.63%),93.51% (+/- 2.95%),90.48% (+/- 3.31%)
250,94.85% (+/- 1.32%),92.97% (+/- 2.13%),92.81% (+/- 2.64%),92.21% (+/- 2.83%),90.4% (+/- 3.37%)
300,94.43% (+/- 1.31%),93.5% (+/- 1.81%),93.46% (+/- 1.91%),93.51% (+/- 2.95%),90.48% (+/- 3.11%)
350,94.63% (+/- 1.27%),92.93% (+/- 2.0%),94.77% (+/- 1.69%),93.51% (+/- 2.9%),90.48% (+/- 4.91%)
400,94.43% (+/- 1.29%),93.5% (+/- 1.96%),95.12% (+/- 1.49%),93.51% (+/- 2.93%),89.61% (+/- 3.85%)
450,94.24% (+/- 1.52%),92.97% (+/- 1.79%),94.77% (+/- 2.09%),92.91% (+/- 2.56%),90.4% (+/- 3.56%)
500,94.63% (+/- 1.42%),93.48% (+/- 1.86%),95.12% (+/- 1.83%),93.51% (+/- 2.68%),90.4% (+/- 3.86%)
550,94.63% (+/- 1.46%),93.48% (+/- 1.76%),94.12% (+/- 1.96%),93.51% (+/- 2.77%),90.48% (+/- 4.09%)
600,94.64% (+/- 1.46%),92.97% (+/- 1.73%),94.77% (+/- 1.69%),92.91% (+/- 2.78%),89.68% (+/- 3.4%)
650,94.63% (+/- 1.76%),93.48% (+/- 2.07%),94.77% (+/- 2.35%),93.51% (+/- 3.14%),88.89% (+/- 4.48%)
700,95.06% (+/- 1.49%),93.23% (+/- 2.09%),94.77% (+/- 1.78%),93.51% (+/- 2.85%),90.48% (+/- 3.86%)
750,94.65% (+/- 1.49%),92.95% (+/- 2.18%),94.44% (+/- 1.96%),93.59% (+/- 2.74%),90.48% (+/- 4.06%)
800,94.43% (+/- 1.32%),92.93% (+/- 1.75%),94.46% (+/- 1.75%),93.51% (+/- 2.6%),89.61% (+/- 5.7%)
850,94.23% (+/- 1.48%),93.23% (+/- 1.87%),94.46% (+/- 1.63%),92.86% (+/- 2.99%),90.4% (+/- 3.68%)
900,94.86% (+/- 1.55%),93.23% (+/- 1.92%),94.77% (+/- 1.43%),92.91% (+/- 3.27%),90.48% (+/- 3.52%)
950,94.64% (+/- 1.56%),92.43% (+/- 1.99%),94.79% (+/- 2.47%),93.51% (+/- 2.94%),88.89% (+/- 4.25%)
1000,94.64% (+/- 1.35%),93.77% (+/- 1.99%),94.79% (+/- 1.67%),93.51% (+/- 2.66%),91.21% (+/- 4.07%)
