,onehot,counts
100,94.35% (+/- 1.13%),94.82% (+/- 1.53%)
150,94.52% (+/- 1.05%),94.93% (+/- 1.44%)
200,94.52% (+/- 1.14%),95.02% (+/- 1.4%)
250,94.73% (+/- 0.95%),95.03% (+/- 1.53%)
300,94.66% (+/- 1.07%),94.98% (+/- 1.37%)
350,94.57% (+/- 0.98%),95.19% (+/- 1.5%)
400,94.57% (+/- 1.07%),94.9% (+/- 1.44%)
450,94.58% (+/- 1.0%),95.13% (+/- 1.54%)
500,94.67% (+/- 1.05%),95.01% (+/- 1.3%)
550,94.58% (+/- 0.89%),94.88% (+/- 1.4%)
600,94.64% (+/- 1.02%),94.98% (+/- 1.36%)
650,94.53% (+/- 0.98%),95.03% (+/- 1.46%)
700,94.57% (+/- 1.02%),95.0% (+/- 1.42%)
750,94.61% (+/- 1.02%),95.02% (+/- 1.51%)
800,94.61% (+/- 1.1%),94.97% (+/- 1.44%)
850,94.63% (+/- 1.11%),94.99% (+/- 1.32%)
900,94.62% (+/- 1.04%),94.96% (+/- 1.5%)
950,94.59% (+/- 0.99%),95.12% (+/- 1.43%)
1000,94.6% (+/- 0.95%),95.05% (+/- 1.45%)
