,kernel32,user32,advapi32,msvcrt,gdi32,shell32,ole32,comctl32
100,90.57% (+/- 1.53%),88.16% (+/- 2.13%),87.5% (+/- 2.43%),94.05% (+/- 1.92%),85.37% (+/- 2.19%),82.1% (+/- 2.35%),82.25% (+/- 3.25%),75.38% (+/- 3.79%)
150,90.44% (+/- 1.29%),88.16% (+/- 2.22%),87.9% (+/- 2.59%),94.01% (+/- 1.89%),85.11% (+/- 1.96%),82.04% (+/- 2.59%),81.52% (+/- 3.07%),75.57% (+/- 3.68%)
200,90.86% (+/- 1.42%),88.52% (+/- 2.07%),87.3% (+/- 2.52%),94.33% (+/- 1.9%),85.11% (+/- 2.18%),81.73% (+/- 2.77%),81.46% (+/- 2.88%),75.67% (+/- 3.74%)
250,90.58% (+/- 1.29%),88.89% (+/- 2.1%),87.5% (+/- 2.45%),94.03% (+/- 2.22%),85.67% (+/- 2.15%),82.92% (+/- 2.99%),82.18% (+/- 2.99%),75.67% (+/- 3.5%)
300,90.86% (+/- 1.31%),88.71% (+/- 1.96%),88.1% (+/- 2.49%),93.45% (+/- 1.72%),85.37% (+/- 1.93%),81.73% (+/- 2.53%),81.88% (+/- 3.11%),75.0% (+/- 3.75%)
350,90.86% (+/- 1.43%),87.8% (+/- 2.27%),87.7% (+/- 2.72%),93.73% (+/- 1.93%),85.37% (+/- 2.14%),82.1% (+/- 2.65%),82.61% (+/- 3.19%),74.9% (+/- 3.61%)
400,90.58% (+/- 1.46%),88.36% (+/- 2.01%),87.53% (+/- 2.48%),93.45% (+/- 1.98%),85.72% (+/- 2.39%),81.99% (+/- 2.64%),81.82% (+/- 3.08%),75.38% (+/- 3.64%)
450,90.72% (+/- 1.49%),88.36% (+/- 2.03%),87.7% (+/- 2.47%),93.71% (+/- 1.99%),85.37% (+/- 2.34%),81.99% (+/- 2.5%),81.82% (+/- 3.1%),75.0% (+/- 3.59%)
500,90.72% (+/- 1.4%),88.73% (+/- 2.03%),87.7% (+/- 2.21%),93.45% (+/- 2.14%),85.41% (+/- 2.03%),82.04% (+/- 2.54%),81.46% (+/- 3.27%),75.0% (+/- 3.72%)
550,90.98% (+/- 1.48%),88.36% (+/- 2.05%),87.7% (+/- 2.48%),94.01% (+/- 1.99%),85.37% (+/- 2.02%),82.1% (+/- 2.44%),82.18% (+/- 2.96%),75.29% (+/- 3.65%)
600,90.58% (+/- 1.24%),88.0% (+/- 1.93%),88.1% (+/- 2.53%),93.73% (+/- 1.87%),85.37% (+/- 2.09%),81.99% (+/- 2.62%),81.52% (+/- 3.05%),75.0% (+/- 3.76%)
650,90.57% (+/- 1.53%),88.71% (+/- 1.85%),87.73% (+/- 2.33%),94.01% (+/- 2.08%),85.06% (+/- 2.22%),81.99% (+/- 2.11%),81.75% (+/- 3.32%),75.29% (+/- 3.96%)
700,90.58% (+/- 1.34%),88.16% (+/- 1.97%),87.9% (+/- 2.42%),93.43% (+/- 1.75%),85.41% (+/- 2.11%),82.66% (+/- 2.36%),82.48% (+/- 3.32%),75.67% (+/- 3.49%)
750,90.58% (+/- 1.52%),88.55% (+/- 2.06%),87.9% (+/- 2.23%),93.73% (+/- 2.09%),85.98% (+/- 2.41%),82.61% (+/- 2.61%),81.88% (+/- 3.16%),75.29% (+/- 3.72%)
800,90.72% (+/- 1.46%),88.34% (+/- 2.12%),87.9% (+/- 2.4%),94.01% (+/- 2.08%),85.67% (+/- 2.11%),82.04% (+/- 2.43%),81.82% (+/- 2.97%),75.76% (+/- 3.86%)
850,90.58% (+/- 1.44%),88.52% (+/- 2.12%),87.73% (+/- 2.24%),93.45% (+/- 2.03%),85.98% (+/- 1.99%),82.1% (+/- 2.49%),82.18% (+/- 3.0%),75.38% (+/- 3.69%)
900,90.85% (+/- 1.5%),88.52% (+/- 1.92%),87.5% (+/- 2.32%),93.43% (+/- 2.08%),85.37% (+/- 2.39%),82.35% (+/- 2.62%),81.82% (+/- 2.99%),75.67% (+/- 3.71%)
950,90.57% (+/- 1.54%),88.18% (+/- 2.05%),87.9% (+/- 2.47%),94.01% (+/- 1.87%),85.67% (+/- 2.36%),82.04% (+/- 2.37%),82.18% (+/- 2.97%),75.29% (+/- 3.52%)
1000,90.58% (+/- 1.46%),88.52% (+/- 1.98%),87.9% (+/- 2.43%),93.43% (+/- 1.95%),85.67% (+/- 2.18%),82.35% (+/- 2.79%),82.18% (+/- 3.11%),75.67% (+/- 3.76%)
